Show,Week 1,Week 2,Week 3,Week 4,Week 5,Week 6,Week 7,Week 8,Week 9,Week 10,Week 11,Week 12,Week 13,Week 14,Week 15,Week 16,Week 17,Week 18,Week 19,Week 20,Week 21,Week 22,Week 23,Week 24,Week 25
Sukh Mhanje Nakki Kay Asta,6.3,6.4,6.1,6.4,6.3,6.2,6.4,6.1,6.0,6.6,6.4,6.2,6.2,6.4,6.2,6.2,6.4,5.7,5.8,5.6,6.3,6.6,6.3,6.6,6.8
Sundar Amcha Ghar,,,,,,,,,,,,,0.6,0.5,,,,,0.5,0.6,,0.6,,,
Sundara Manamadhye Bharali,1.2,,0.9,0.9,1.0,1.1,1.1,1.1,1.1,1.3,,,1.1,2.1,2.0,2.0,1.2,1.8,1.9,1.9,2.0,2.1,1.1,1.0,2.5
Sundari,,,,,,,,,,,,,,,,,,,,,,0.53,,,0.5
Sundari - I,,,,,,,,,,,,,,,,,,,,,0.2,,,,
Swabhimaan,4.4,4.0,4.0,4.0,3.9,3.4,3.2,3.9,4.1,3.5,4.1,2.8,3.6,4.3,4.1,4.2,4.5,4.4,4.2,4.1,4.4,4.9,4.7,4.6,4.4
Swarajya Saudamini Tararani,,,0.5,,,,,0.4,,,,,,,,,,,,,,0.3,,,
Thipkyanchi Rangoli,4.6,4.2,4.9,4.8,4.7,4.7,4.5,4.9,4.8,4.8,4.8,4.7,5.1,5.1,5.0,5.1,5.8,5.6,5.8,5.5,5.4,5.6,5.2,5.7,5.6
Tu Tevha Tashi,,,,,,,,,,,,3.0,3.6,3.0,3.1,3.2,3.1,3.2,3.1,3.1,3.2,3.2,3.0,3.1,2.8
Tujhech Mi Geet Gaat Ahe,,,,,,,,,,,,,,,,,,5.2,5.3,5.2,5.5,5.7,5.9,6.0,5.9
Tujhya Ishkacha Naadkhula,,,,,0.4,0.4,0.3,0.3,0.3,,,,,,,,,,,,,,,,
Tujhya Ishkacha Naadkhula - I,0.7,0.7,0.6,0.7,,,,,,,,,,,,,,,,,,,,,
Tujhya Majhya Sansarala Ani Kai Hava,1.6,1.0,1.0,1.4,1.2,1.2,1.1,1.0,1.0,1.2,1.0,,0.9,1.9,1.8,1.8,1.0,1.6,1.6,1.6,1.6,1.5,1.1,1.1,1.0
Tujhya Rupacha Chandana,,,,,,,,,,,,,,0.6,0.5,0.5,,0.5,0.5,0.5,0.5,,,,
Tujhya Rupacha Chandana - I,0.7,,0.5,0.5,0.4,0.6,0.6,0.5,,,,,,,,,,,,,,,,,
Tumchi Mulgi Kay Karte,,,0.2,,,,,0.2,,,,,0.3,,,,,,0.5,0.5,,0.4,,,
Yeu Kashi Tashi Me Nandayla,3.7,3.6,2.1,2.5,2.6,2.7,2.5,2.7,2.8,2.5,2.3,2.3,,,,,,,,,,,,,
Yogyogeshwar Jai Shankar,,,,,,,,,,,,,,,,,,,,,,1.1,0.6,,1.2
Zee Maha Gaurav 2022,,,,,,,,,,,,,2.2,,,,,,,,,,,,
Zee Marathi Jallosh 2022,1.4,,,,,,,,,,,,,,,,,,,,,,,,
Zombivali,,,,,,,,,,,,,,,,,,,,,,,,0.9,
