Show,Channel,Platform,Time,Week 1 TV TRP TRP,Week 1 TV TRP Rank,Week 1 Online TRP Rank,Week 1 Online TRP Rank,Week 2 TV TRP TRP,Week 2 TV TRP Rank,Week 2 Online TRP Rank,Week 2 Online TRP Rank,Week 3 TV TRP TRP,Week 3 TV TRP Rank,Week 3 Online TRP Rank,Week 3 Online TRP Rank,Week 4 TV TRP TRP,Week 4 TV TRP Rank,Week 4 Online TRP Rank,Week 4 Online TRP Rank,Week 5 TV TRP TRP,Week 5 TV TRP Rank,Week 5 Online TRP Rank,Week 5 Online TRP Rank,Week 6 TV TRP TRP,Week 6 TV TRP Rank,Week 6 Online TRP Rank,Week 6 Online TRP Rank,Week 7 TV TRP TRP,Week 7 TV TRP Rank,Week 7 Online TRP Rank,Week 7 Online TRP Rank,Week 8 TV TRP TRP,Week 8 TV TRP Rank,Week 8 Online TRP Rank,Week 8 Online TRP Rank,Week 9 TV TRP TRP,Week 9 TV TRP Rank,Week 9 Online TRP Rank,Week 9 Online TRP Rank,Type
Pinkycha Vijay Aso,Star Pravah,Hotstar,['23:00'],,,,,,,,,,,,,,,,,1.0,19.0,12.0,12.0,1.0,20.0,,,0.9,18.0,,,0.8,21.0,,,1.2,19.0,,,Fiction
Pravah Utsav,Star Pravah,Hotstar,[],,,,,,,,,,,,,2.2,13.0,,,,,,,,,,,,,,,,,,,,,,,Event
Raja Ranichi Ga Jodi,Colors Marathi,Voot,['19:00'],0.8,22.0,,,,,,,0.7,20.0,,,0.6,22.0,,,0.9,20.0,,,0.9,21.0,,,0.7,20.0,,,0.7,22.0,,,,,,,Fiction
Rang Majha Vegla,Star Pravah,Hotstar,['20:00'],6.9,1.0,4.0,4.0,7.1,1.0,3.0,3.0,7.2,1.0,3.0,3.0,7.1,1.0,4.0,4.0,6.9,1.0,3.0,3.0,6.8,1.0,3.0,3.0,6.7,1.0,2.0,2.0,7.1,1.0,2.0,2.0,6.9,1.0,2.0,2.0,Fiction
Ratris Khel Chale S3,Zee Marathi,Zee5,['23:00'],0.6,24.0,,,0.4,20.0,,,0.3,24.0,,,0.3,24.0,,,0.3,26.0,,,0.4,26.0,,,0.4,23.0,,,0.4,25.0,,,0.5,25.0,,,Fiction
Sahakutumba Sahaparivar,Star Pravah,Hotstar,['19:00'],3.2,11.0,,,3.4,9.0,,,3.6,9.0,,,3.7,9.0,,,4.2,7.0,,,3.7,8.0,,,4.0,7.0,14.0,14.0,4.1,8.0,,,3.9,9.0,14.0,14.0,Fiction
Sonyachi Pavala,Colors Marathi,Voot,['18:30'],0.3,27.0,,,,,,,0.2,25.0,,,0.2,25.0,,,0.3,26.0,,,0.4,26.0,,,0.3,24.0,,,0.2,27.0,,,,,,,Fiction
Star Pravah Dhoomdhadaka 2022,Star Pravah,Hotstar,[],6.7,2.0,,,,,,,3.1,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Event
Sukh Mhanje Nakki Kay Asta,Star Pravah,Hotstar,['21:30'],6.3,3.0,2.0,2.0,6.4,3.0,4.0,4.0,6.1,4.0,4.0,4.0,6.4,3.0,5.0,5.0,6.3,2.0,5.0,5.0,6.2,3.0,5.0,5.0,6.4,2.0,5.0,5.0,6.1,3.0,5.0,5.0,6.0,3.0,4.0,4.0,Fiction
Sundara Manamadhye Bharali,Colors Marathi,Voot,['21:00'],1.2,19.0,,,,,,,0.9,18.0,,,0.9,19.0,,,1.0,19.0,,,1.1,19.0,,,1.1,17.0,,,1.1,18.0,,,1.1,20.0,,,Fiction
Swabhimaan,Star Pravah,Hotstar,['18:30'],4.4,9.0,6.0,6.0,4.0,7.0,7.0,7.0,4.0,8.0,7.0,7.0,4.0,8.0,7.0,7.0,3.9,8.0,7.0,7.0,3.4,9.0,7.0,7.0,3.2,8.0,7.0,7.0,3.9,9.0,8.0,8.0,4.1,8.0,8.0,8.0,Fiction
Swarajya Saudamini Tararani,Sony Marathi,SonyLiv,['19:30'],,,,,,,,,0.5,22.0,,,,,,,,,,,,,,,,,,,0.4,25.0,,,,,,,Fiction
Thipkyanchi Rangoli,Star Pravah,Hotstar,['22:00'],4.6,8.0,3.0,3.0,4.2,6.0,2.0,2.0,4.9,7.0,1.0,1.0,4.8,6.0,1.0,1.0,4.7,5.0,1.0,1.0,4.7,6.0,2.0,2.0,4.5,6.0,3.0,3.0,4.9,6.0,3.0,3.0,4.8,6.0,3.0,3.0,Fiction
Tujhya Ishkacha Naadkhula,Star Pravah,Hotstar,['23:30'],,,,,,,,,,,,,,,,,0.4,25.0,,,0.4,26.0,,,0.3,24.0,,,0.3,26.0,,,0.3,26.0,,,Fiction
Tujhya Ishkacha Naadkhula - I,Star Pravah,Hotstar,['23:00'],0.7,23.0,,,0.7,18.0,,,0.6,21.0,,,0.7,21.0,,,,,,,,,,,,,,,,,,,,,,,Fiction
Tujhya Majhya Sansarala Ani Kai Hava,Zee Marathi,Zee5,['21:00'],1.6,16.0,,,1.0,16.0,,,1.0,17.0,,,1.4,17.0,,,1.2,18.0,,,1.2,18.0,,,1.1,17.0,19.0,19.0,1.0,19.0,,,1.0,21.0,20.0,20.0,Fiction
Tujhya Rupacha Chandana,Colors Marathi,Voot,['21:30'],0.7,23.0,,,,,,,0.5,22.0,,,0.5,23.0,,,0.4,25.0,,,0.6,24.0,,,0.6,21.0,,,0.5,24.0,,,,,,,Fiction
Tumchi Mulgi Kay Karte,Sony Marathi,SonyLiv,['22:00'],,,,,,,,,0.2,25.0,,,,,,,,,,,,,,,,,,,0.2,27.0,,,,,,,Fiction
Yeu Kashi Tashi Me Nandayla,Zee Marathi,Zee5,['20:00'],3.7,10.0,10.0,10.0,3.6,8.0,10.0,10.0,2.1,12.0,,,2.5,12.0,10.0,10.0,2.6,12.0,10.0,10.0,2.7,12.0,,,2.5,11.0,10.0,10.0,2.7,13.0,10.0,10.0,2.8,13.0,11.0,11.0,Fiction
Zee Marathi Jallosh 2022,Zee Marathi,Zee5,[],1.4,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Event
